Rank,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
448,Jerome Robinson,22,LAC,476,6.982067055,1.1,11.7,6.5,1.3,1.5,12.6,15,0.153,0.423,0.2,-4.2,-0.3,0.8,-3.6,-2.9,2,SG
449,Treveon Graham,26,ATL,266,4.155796178,9.2,11.6,10.4,1.4,1.4,7.6,13.3,0.117,0.478,4.4,-0.8,0.1,0.2,-2.3,-0.4,1.9,SG
450,Brandon Knight,28,CLE,241,3.580880942,1.3,7.8,4.4,1,0.7,18,19.1,0.149,0.431,0.1,-6.9,-0.3,0,-6.1,0,1.8,PG
451,Caleb Swanigan,22,POR,265,5.095612903,10.4,28.1,19.2,0.4,1.7,14.1,12.9,0.385,0.605,2.9,-2.5,0,0.5,-3,-1.5,1.8,PF
452,Anthony Tolliver,34,MEM,236,3.716236025,2.3,12.7,7.6,1.5,0.4,5.3,10.7,0.149,0.602,4.5,-0.5,0.1,0.4,-0.4,-0.2,1.8,PF
453,Dragan Bender,22,MIL,91,1.865734767,0,20.5,10.9,0,4.8,12.5,12.4,0.183,0.582,3.3,-1.4,0,0.5,3.2,1.5,1.7,SF
454,Alize Johnson,23,IND,118,3.256215569,15.8,30.1,23.1,1.3,1.4,7.7,15,0.173,0.509,3.4,-2.2,0,0.2,0.7,0.2,1.7,SF
455,Stanley Johnson,23,TOR,150,4.026248334,5.1,21,13.2,1.9,2.2,19.4,23.1,0.185,0.454,1.9,-6,-0.2,0.3,-2.2,-0.6,1.7,PF
456,Jabari Parker,24,SAC,80,3.085801802,9.5,22.3,15.8,1.8,1.1,21.5,23.8,0.091,0.638,10,2.8,0.1,0.1,4,0.3,1.7,PF
457,Carsen Edwards,21,BOS,351,5.803403931,1.9,12.7,7.4,1.9,1.2,9.3,18.4,0.099,0.444,1.1,-2.7,-0.1,1.1,-2.5,-2.7,1.6,SG
458,Terrance Ferguson,21,OKC,1257,8.682769231,2.1,4.5,3.3,1.1,1.3,5.3,9.1,0.119,0.481,3.6,-2.9,-0.3,2.4,-2.2,-5.4,1.6,SF
459,Wenyen Gabriel,22,POR,174,3.223254686,10.7,15.7,13.2,2.2,2.5,3.6,11.5,0.233,0.606,5,-0.4,0.1,0.3,0.1,0,1.6,PF
460,Alen Smailagić,19,GSW,139,3.35561952,7.3,13.4,10.2,1,2.4,14.3,18.2,0.185,0.61,5.3,-3.9,-0.1,0.1,-0.6,-0.1,1.6,PF
461,Donta Hall,22,BRK,85,2.31956701,11.1,18.4,15,1.3,5.4,3.5,12.9,0.114,0.709,7.7,3.4,0.1,0.1,6.5,0.7,1.5,PF
462,Solomon Hill,28,MIA,187,3.650751729,3.1,9,6.1,3.2,2.4,7.3,14.8,0.174,0.471,3.9,-2.1,0,0.4,-1.6,-0.7,1.5,SF
463,C.J. Miles,32,WAS,161,3.464259587,2.6,5.5,4,2.9,2.1,10,18.6,0.056,0.472,4.5,-2.7,0,0.4,-1.2,-0.4,1.5,SG
