,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
83,Gordon Hayward,29,BOS,34,1.0335384615384615,0.0,12.1,6.5,5.9,0.0,14.0,18.6,0.071,0.462,6.0,8.1,0.1,0.0,0.2,0.0,0.5,SF
84,Tyler Herro,20,MIA,291,6.427873452544705,0.8,15.6,8.6,0.5,0.7,16.6,20.1,0.107,0.567,4.0,3.8,0.4,0.1,1.0,0.1,3.3,SG
85,Mario Hezonja,24,POR,68,1.4932861952861953,3.1,21.8,12.4,2.1,0.0,13.6,16.4,0.112,0.484,3.2,-26.3,-0.4,0.0,-2.4,-0.0,0.7,PF
86,George Hill,33,MIL,268,4.713121876593575,2.0,7.7,4.8,1.1,0.0,16.4,15.2,0.169,0.606,3.5,10.1,0.8,0.1,1.1,0.1,2.4,PG
87,Jaylen Hoard,20,POR,41,0.5386666666666667,12.8,10.3,11.6,0.0,0.0,4.0,14.2,0.143,0.583,1.3,-28.2,-0.3,0.0,-1.2,-0.0,0.3,SF
88,Aaron Holiday,23,IND,72,1.5884482758620693,1.6,6.7,4.1,2.8,0.0,23.4,17.4,0.147,0.668,5.9,-43.3,-0.8,0.0,0.2,0.0,0.8,PG
89,Justin Holiday,30,IND,131,2.533584229390681,3.5,10.1,6.7,2.3,3.9,3.3,8.9,0.118,0.65,8.6,-40.6,-1.3,0.0,-0.6,-0.0,1.3,SG
90,Rondae Hollis-Jefferson,25,TOR,39,1.0699408284023668,13.4,14.2,13.8,2.5,2.8,10.8,16.3,0.069,0.518,7.0,14.9,0.2,0.0,4.7,0.0,0.5,SF
91,Al Horford,33,PHI,129,2.530404558404558,7.3,17.1,12.1,0.4,3.6,11.6,10.5,0.097,0.499,6.6,-50.8,-1.6,0.0,-1.5,-0.0,1.3,C
92,Danuel House,26,HOU,279,5.414844797178131,3.8,17.0,10.2,1.4,0.0,7.0,15.6,0.072,0.568,5.2,10.5,0.9,0.1,1.3,0.1,2.8,SF
93,Dwight Howard,34,LAL,105,2.4592743561030237,17.1,23.4,20.2,0.9,0.9,5.4,16.6,0.123,0.602,3.6,1.2,0.1,0.0,3.2,0.1,1.3,C
94,Serge Ibaka,30,TOR,231,9.271200302343159,7.2,29.3,17.9,0.4,6.5,10.0,21.8,0.078,0.704,11.2,19.1,1.2,0.1,6.7,0.4,4.8,C
